now,ticks,Tx,Rx,lost,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017-01-15 2:13,12000000,119465,119465,0,100,-1,0.2,2.38E-02,0.002239,0.978055,0
2017-01-15 2:13,12000000,237655,237655,0,200,-1,0.4,1.24E-01,0.002626,0.900718,0
2017-01-15 2:13,12000000,354747,354747,0,300,-1,0.6,4.07E-01,0.003377,0.745053,0
2017-01-15 2:13,12000000,470569,470569,0,400,-1,0.8,1.34E+00,0.005419,0.480523,0
2017-01-15 2:13,12000000,585732,585732,0,500,-1,1,1.94E+01,0.041749,0.064758,0
2017-01-15 2:13,12000000,599996,599996,0,600,-1,1.2,4.90E+04,84.268424,0.000026,0
2017-01-15 2:13,12000000,599995,599995,0,700,-1,1.4,1.06E+05,156.743909,0.000022,0
2017-01-15 2:13,12000000,599999,599999,0,800,-1,1.6,1.61E+05,209.351632,0.000003,0
2017-01-15 2:13,12000000,599999,599999,0,900,-1,1.8,2.16E+05,250.88842,0.000001,0
2017-01-15 2:13,12000000,599999,599999,0,1000,-1,2,2.71E+05,284.720583,0.000001,0
2017-01-15 2:13,12000000,120048,120048,0,100,10,0.2,2.38E-02,0.002238,0.978067,0
2017-01-15 2:13,12000000,237979,237979,0,200,10,0.4,1.23E-01,0.00262,0.901222,0
2017-01-15 2:13,12000000,353915,353914,1,300,10,0.6,4.04E-01,0.003369,0.745869,0.000003
2017-01-15 2:13,12000000,470625,470278,347,400,10,0.8,1.33E+00,0.005388,0.480569,0.000737
2017-01-15 2:13,12000000,584801,567902,16899,500,10,1,4.50E+00,0.011512,0.145813,0.028897
2017-01-15 2:13,12000000,697941,597883,100058,600,10,1.2,8.17E+00,0.018402,0.011832,0.143362
2017-01-15 2:13,12000000,811420,599890,211530,700,10,1.4,9.49E+00,0.020988,0.000603,0.260691
2017-01-15 2:13,12000000,922958,599998,322960,800,10,1.6,9.97E+00,0.021939,0.00001,0.349918
2017-01-15 2:13,12000000,1034698,599999,434699,900,10,1.8,1.02E+01,0.0224,0.000001,0.420122
2017-01-15 2:13,12000000,1141476,599999,541477,1000,10,2,1.03E+01,0.022673,0.000001,0.474366
2017-01-15 2:13,12000000,118939,118939,0,100,25,0.2,2.34E-02,0.002236,0.978392,0
2017-01-15 2:13,12000000,237775,237775,0,200,25,0.4,1.24E-01,0.002626,0.900242,0
2017-01-15 2:13,12000000,355255,355255,0,300,25,0.6,4.06E-01,0.00337,0.744053,0
2017-01-15 2:13,12000000,470048,470048,0,400,25,0.8,1.32E+00,0.005379,0.482414,0
2017-01-15 2:13,12000000,584939,580403,4536,500,25,1,9.47E+00,0.02158,0.089068,0.007755
2017-01-15 2:13,12000000,699936,599985,99951,600,25,1.2,2.30E+01,0.047911,0.00009,0.1428
2017-01-15 2:13,12000000,811467,599999,211468,700,25,1.4,2.45E+01,0.050998,0,0.2606
2017-01-15 2:13,12000000,922240,599999,322241,800,25,1.6,2.50E+01,0.051931,0,0.349411
2017-01-15 2:13,12000000,1030683,599999,430684,900,25,1.8,2.52E+01,0.052381,0.000001,0.417863
2017-01-15 2:13,12000000,1141360,599999,541361,1000,25,2,2.53E+01,0.052666,0.000002,0.474312
2017-01-15 2:13,12000000,119284,119284,0,100,50,0.2,2.35E-02,0.002236,0.978361,0
2017-01-15 2:13,12000000,237266,237266,0,200,50,0.4,1.24E-01,0.002626,0.900715,0
2017-01-15 2:13,12000000,355152,355152,0,300,50,0.6,4.03E-01,0.003361,0.745277,0
2017-01-15 2:13,12000000,470425,470425,0,400,50,0.8,1.37E+00,0.005495,0.479171,0
2017-01-15 2:13,12000000,585362,584470,892,500,50,1,1.44E+01,0.031564,0.070513,0.001524
2017-01-15 2:13,12000000,700169,599995,100174,600,50,1.2,4.80E+01,0.097942,0.000013,0.143071
2017-01-15 2:13,12000000,812973,599999,212974,700,50,1.4,4.95E+01,0.100973,0.000001,0.261969
2017-01-15 2:13,12000000,923297,599999,323298,800,50,1.6,5.00E+01,0.10193,0.000005,0.350156
2017-01-15 2:13,12000000,1033078,599999,433079,900,50,1.8,5.02E+01,0.102387,0.000001,0.419212
2017-01-15 2:13,12000000,1140757,599999,540758,1000,50,2,5.03E+01,0.10266,0.000005,0.474034
